user,repository_name,url,size,stargazers_count,forks_count,open_issues
aya-rs,book,https://github.com/aya-rs/book.git,2227,13,7,9
mrtc0,bouheki,https://github.com/mrtc0/bouheki.git,1458,35,3,9
genuinetools,bpfd,https://github.com/genuinetools/bpfd.git,3747,436,38,4
mmat11,beewall,https://github.com/mmat11/beewall.git,64,4,3,0
Yelp,pidtree-bcc,https://github.com/Yelp/pidtree-bcc.git,328,28,3,0
CrowdStrike,bpfmon-example,https://github.com/CrowdStrike/bpfmon-example.git,1288,9,3,0
chenhengqi,bpf-examples,https://github.com/chenhengqi/bpf-examples.git,635,19,6,0
iovisor,iovisor-ovn,https://github.com/iovisor/iovisor-ovn.git,3058,62,16,3
ashhadsheikh,ebpf,https://github.com/ashhadsheikh/ebpf.git,6,4,2,0
netdata,ebpf-co-re,https://github.com/netdata/ebpf-co-re.git,917,4,3,0
emilmasoumi,ebpf-assembler,https://github.com/emilmasoumi/ebpf-assembler.git,132,6,2,0
Gui774ume,network-security-probe,https://github.com/Gui774ume/network-security-probe.git,675,33,5,0
p-,socket-connect-bpf,https://github.com/p-/socket-connect-bpf.git,16937,28,5,0
Xilinx-CNS,ebpf_asm,https://github.com/Xilinx-CNS/ebpf_asm.git,113,30,1,0
lowprivshighhopes,ebpf-tools,https://github.com/lowprivshighhopes/ebpf-tools.git,5557,0,4,0
Dantali0n,qemu-csd,https://github.com/Dantali0n/qemu-csd.git,19986,15,7,0
Netronome,bpf-tool,https://github.com/Netronome/bpf-tool.git,50,25,5,0
iovisor,kubectl-trace,https://github.com/iovisor/kubectl-trace.git,9603,1578,122,36
trapmine,trapmine-linux-sensor,https://github.com/trapmine/trapmine-linux-sensor.git,4614,18,4,2
willfindlay,bpfcontain-rs,https://github.com/willfindlay/bpfcontain-rs.git,1440,35,8,8
microsoft,ebpf-for-windows-demo,https://github.com/microsoft/ebpf-for-windows-demo.git,301,6,2,1
OSH-2019,x-monthly-subscription,https://github.com/OSH-2019/x-monthly-subscription.git,90274,18,4,0
Netronome,libkefir,https://github.com/Netronome/libkefir.git,303,48,8,0
s41m0n,eBPF_TrafficAnalyzer,https://github.com/s41m0n/eBPF_TrafficAnalyzer.git,162,5,2,0
thanos-community,ebpf-instrumentation,https://github.com/thanos-community/ebpf-instrumentation.git,446,19,0,0
mscastanho,bpf-tutorial,https://github.com/mscastanho/bpf-tutorial.git,5838,7,7,0
markpash,flowlat,https://github.com/markpash/flowlat.git,116,19,4,2
DavadDi,bpf_demo,https://github.com/DavadDi/bpf_demo.git,9863,21,5,0
booyaa,vagrant-bcctools,https://github.com/booyaa/vagrant-bcctools.git,7,7,6,1
ldorau,strace.ebpf,https://github.com/ldorau/strace.ebpf.git,856,3,2,1
gpioblink,ebpf-usb-inspector,https://github.com/gpioblink/ebpf-usb-inspector.git,9,20,0,0
xzpeter,rt-trace-bpf,https://github.com/xzpeter/rt-trace-bpf.git,58,5,2,0
praparn,dev-mountain-fest-ebpf-032022,https://github.com/praparn/dev-mountain-fest-ebpf-032022.git,4405,1,4,0
evilsocket,clang-ebpf-builder,https://github.com/evilsocket/clang-ebpf-builder.git,78,19,1,0
mJace,ebpfKit,https://github.com/mJace/ebpfKit.git,7449,7,0,0
prathyushpv,klockstat,https://github.com/prathyushpv/klockstat.git,32,9,5,1
yandex-cloud,skbtrace,https://github.com/yandex-cloud/skbtrace.git,93,65,3,0
CN-TU,machine-learning-in-ebpf,https://github.com/CN-TU/machine-learning-in-ebpf.git,535,17,0,0
pathtofile,bpf-pipesnoop,https://github.com/pathtofile/bpf-pipesnoop.git,1330,27,3,0
giuliafrascaria,ebpf-data-filter,https://github.com/giuliafrascaria/ebpf-data-filter.git,7014,18,0,0
gardener,connectivity-monitor,https://github.com/gardener/connectivity-monitor.git,3676,12,4,0
lumontec,lsmtrace,https://github.com/lumontec/lsmtrace.git,3625,14,5,2
pixie-io,pixie,https://github.com/pixie-io/pixie.git,57130,3168,201,79
nikofil,ebpf-firewall,https://github.com/nikofil/ebpf-firewall.git,16,13,1,2
CenturionInfoSec,ebpf-examples,https://github.com/CenturionInfoSec/ebpf-examples.git,5,14,2,0
cilium,hubble-ui,https://github.com/cilium/hubble-ui.git,23319,170,17,10
jpirko,rocker_bpf,https://github.com/jpirko/rocker_bpf.git,935072,0,3,0
CrackerCat,Eebpf-kit,https://github.com/CrackerCat/Eebpf-kit.git,0,0,6,0
Gui774ume,utrace,https://github.com/Gui774ume/utrace.git,1261,10,3,1
netobserv,netobserv-ebpf-agent,https://github.com/netobserv/netobserv-ebpf-agent.git,4033,0,3,0
leodido,go-ebpf-examples,https://github.com/leodido/go-ebpf-examples.git,18,16,0,1
dpino,xdp_ipv6_filter,https://github.com/dpino/xdp_ipv6_filter.git,19,15,1,0
cpg1111,pprof-ebpf,https://github.com/cpg1111/pprof-ebpf.git,52,10,1,0
PeterXu,ebpf_reuseport,https://github.com/PeterXu/ebpf_reuseport.git,9,2,1,0
bm9w,ebpf-edr,https://github.com/bm9w/ebpf-edr.git,98,10,2,0
seek-ret,ebpf-training,https://github.com/seek-ret/ebpf-training.git,541,13,2,0
AlexanderKurtz,alfwrapper,https://github.com/AlexanderKurtz/alfwrapper.git,38,9,2,0
ancat,meatball,https://github.com/ancat/meatball.git,3,11,3,0
demining,bitcoind-observer-Google-Colab,https://github.com/demining/bitcoind-observer-Google-Colab.git,36,0,9,0
rolandobrondolin,DEEP-mon,https://github.com/rolandobrondolin/DEEP-mon.git,409,20,4,2
mmisono,rust-cbpf,https://github.com/mmisono/rust-cbpf.git,31,6,2,0
safchain,goebpf,https://github.com/safchain/goebpf.git,18,10,1,0
oscomp,proj148-RDMA-Driver-Rust-eBPF,https://github.com/oscomp/proj148-RDMA-Driver-Rust-eBPF.git,2,18,0,0
QMUL-EECS-Networks-Systems,ebpf-sketches,https://github.com/QMUL-EECS-Networks-Systems/ebpf-sketches.git,115,9,1,0
